docid,text,person_id,first_name,last_name,date,Party,Constituency,label
text68219,"At this moment, nearly a year on since the first lockdown was brought about, I am reminded of the words of Lord Tennyson:“Made weak by time and fate, but strong in willTo strive, to seek, to find, and not to yield.”Over the last year, we have all grown tired of the slow passing of time as the covid pandemic has brought to a halt our lives as we once knew them. The daily confirmation of lives lost and loved ones around the country in mourning — the pandemic really has taken a toll on us all. But now is the time, as this Budget has sought to do, to strive for a better future: seeking to improve the life chances for all and finding solutions to turbocharge our economy, and not yielding to the cynicism and pessimism of some.This is a good Budget and the Chancellor has got the balance right between supporting our economy and jobs right now as we continue through this pandemic, and laying out the necessary and proportionate measures to pay for that support in the future. Global Britain in a post-covid-19 world can be a beacon around the globe, a shining example of how to transform an economy into a high-skilled, high-waged green economy, offering opportunities for many and levelling up our left-behind communities. This Budget sets us on course for that.First, as vice-chair of the all-party group on hospitality and tourism, I welcome the extensions of the VAT cut and the business rates holiday. Those measures have really helped the hospitality sector through the pandemic. It is welcome that they will be in place as they fully open this summer. I would have liked to see them extended for a further full year to really give our hospitality and tourism sectors a turbo-boost to their recovery, so I hope my right hon. Friend the Chancellor will review that when the schemes are due to come to an end.Secondly, I welcome the levelling-up fund and the inclusion of both Hastings and Rother local authorities in priority group 1. This fund will really help areas that have been left behind for too long to get the vital investment in local projects that matter to local people. I welcome the funding support that both the local authorities I represent will get in putting their bids together. I look forward to working with them on that, along with my hon. Friend the Member for Bexhill and Battle (Huw Merriman).Finally, I cannot conclude without raising the case for a High Speed 1 rail extension from Ashford International through to Hastings, Bexhill and Eastbourne. I know I have been banging on about it for a long time and it has been talked about for nearly 10 years, but we really need it to come through and get that train through there.We may have grown tired and weakened by the pandemic in recent months, but now is the time to strive, to seek, to find and not to yield as we move our economy into a post-covid world, as this Budget does.",25902,Sally-Ann,Hart,08/03/2021,Conservative,Hastings and Rye,4
text46769,"For all the Minister’s sweet talking, the simple fact is that nearly eight months after the first lockdown was imposed, millions of self-employed people and small businesses are still being excluded from Government support. He has spoken approvingly today of comments from a recent Public Accounts Committee report, so may I draw his attention to the Committee’s 20th report of this Session, unanimously agreed by a Committee with a Conservative majority?The report says:“The Committee is disappointed that, so long after the beginning of the pandemic, HMRC has still not made sufficient use of its data to identify small businesses which have been left out of previous support packages, and therefore maximise taxpayer eligibility for grant support.”Can the Minister not accept that the Committee’s disappointment reflects a view widely held among all parties in the House and that it is time for the excluded 3 million to be supported by actions, not just words?",25273,Peter,Grant,03/11/2020,Scottish National Party,Glenrothes,4
text19484,"I am grateful to you for that, Madam Deputy Speaker. We have heard many fine speeches over two days, and I hope Members will forgive me for not being able to mention them all. Throughout this outbreak, our paramount concern has been to save lives and minimise harm. That means suppressing the virus, not managing its spread. We are tracking towards one of the worst death tallies in the world, with more than 40,000 deaths, every one a tragedy, and this House cannot ignore the disproportionate impact the virus is having on black, Asian and minority ethnic communities — a thorough inquiry is a necessity. Today’s debate is not an inquest. No doubt there will have to be, in the future, a full and proper public inquiry, with access to an abundance of material and data. However, the Government must understand the concern, grief and anguish of our constituents who have lost loved ones or suffered great harm.Ministers should expect searching questions. For example, did we enter lockdown too late? Ministers tell us they were following the science, but a SAGE paper from February on social distancing concedes:“It is a political decision to consider whether it is preferable to enact stricter measures at first…or to start with fewer measures”.As the Chair of the Health Committee, the right hon. Member for South West Surrey (Jeremy Hunt), said yesterday,“Ministers have to take responsibility for their decisions.” —  [Official Report, 11 May 2020; Vol. 676, c. 59.]This virus exploits ambivalence. It demands clear public health messaging. Points about confused messaging have been made eloquently throughout the debate, but fundamentally the point is that nobody should be asked to go to work or send their children to school without it being safe to do so, and many do not believe that the Prime Minister’s instructions on Sunday evening yet meet that test. The Government must work with the TUC to ensure that strict safety measures are in place. No worker should be forced to put their health at risk. I hope the Minister can tell the House what the impact of asking people to go back to work will be on the R0.The lockdown has been a powerful tool to bring down transmission, and easing lockdown too soon risks a dangerous second wave, with unacceptable further loss of life, so we support its continuation. But lockdown has a cost. It has an economic cost, certainly. It has a detrimental cost for children who spend months out of school; UNICEF has warned that children are not the face of this pandemic but risk being among its biggest victims. It also has a cost for health. We talk about protecting the NHS, but the extra surge capacity in the NHS has been built on the back of 2 million operations cancelled, cancer treatment delayed, unquantifiable mental health problems left to fester, and falling A&E attendance. There will indeed be long-term mortality and morbidity as a consequence of this lockdown. Ministers need to fund the NHS for that growing burden of unmet clinical need.However, we cannot leave the lockdown safely unless thorough public health measures are in place. We need case finding, testing, tracing and isolation, which have been vital to the success of nations such as South Korea, Australia and New Zealand. Testing and surveillance are crucial to properly understanding prevalence and the estimates of the R0.The former Business Secretary, the right hon. Member for Tunbridge Wells (Greg Clark), put it well yesterday when he said:“A lack of testing has caused a lack of data, which has meant that too many of our policy decisions have been taken with a self-imposed blindfold.” —  [Official Report, 11 May 2020; Vol. 676, c. 84.]I agree. We were doing tracing in February, and then we abandoned it on 12 March. It took until 29 April for adverts to start appearing to recruit tracing call centre staff, a service that is to be handed over to the private sector. I do not believe that that tracing should be done by Serco. Instead, we must use the expertise in local public health services, our environmental health officers and our strength in primary care, and GPs should routinely be sent the test results of their patients.Given the levels of significant asymptomatic and pre-symptomatic transmission, we need a proper targeted testing strategy too. All healthcare workers must be screened regularly. A study by Imperial suggested that that would reduce transmission in healthcare settings by up to a third. Because Office for National Statistics data show higher mortality in more deprived areas, with those in lower-paid occupations at greater risk, inequalities in accessing testing must be stamped out, and people must be provided with the means to self-isolate. That should include making use of hotel rooms and providing decent, more generous statutory sick pay if people cannot isolate at home.We need to take other public health measures too. We support the quarantining of arrivals for 14 days at airports, but why did the Government not implement  that earlier, and why is there still a lag in enforcing it? I am sure I am not the only Member struck by the curious irony that a party that promised to take back control of borders has conspicuously failed hitherto to enforce any border restrictions at a time of a devastating global pandemic.We need to minimise outbreaks in vulnerable settings. Exercise Cygnus warned about the risks in care homes. The Government document published yesterday proclaimed that“the Government will continue to bolster the UK’s social care sector”.Today we learned of 8,312 tragic deaths in care homes. Why did Government official guidance until 12 March say:“It remains very unlikely that people receiving care in a care home or the community will become infected”?Why were patients discharged from hospital and transferred into the hands of social care without a test? And why still today, when we know that all staff and residents should be tested, are the Government promising to deliver that testing only by 6 June, a month away? This is not swift action. In many ways it looks like utter negligence.Today is International Nurses Day and many will light a candle or shine a light from their windows at 8.30 pm to thank and pay tribute to every nurse. We will remember them and every health and care worker who has paid the ultimate sacrifice to this horrific disease. Our NHS staff and care staff, many of whom are exhausted and fearing burn-out, need more than Thursday evening clapping. They need our full support, safe staffing ratios, PPE and decent fair pay. They have been asked to give so much. They too often get so little in return. We hope that they are recognised for their true worth at the end of all this.",25120,Jon,Ashworth,12/05/2020,Labour,Leicester South,1
text61190,"The Secretary of State suggested that her approach to universal credit is evidence-based, yet the Government dismissed the Select Committee on Work and Pensions report on this issue. Then she described anti-poverty measures as a priority, yet removing the universal credit uplift would plunge 200,000 children across the UK into poverty. If the UK Government make the smaller one-off payment that has been suggested, it will provide no security and do nothing to help those who first claim UC after the payment has been made. Alongside the discussions on universal credit, has the Secretary of State suggested to the Chancellor any action to end the discrimination against those on legacy benefits who have seen their support rise by just 1.7% during the pandemic?",25293,Neil,Gray,25/01/2021,Scottish National Party,Airdrie and Shotts,4
text67193,"I received some welcome news this morning that Lambeth’s local covid vaccination team is one of the highest performing teams in the country. Our local clinical commissioning group reports that 85% of people over 75 and 89% of residents in care homes have now been vaccinated. Here in Vauxhall, we have had to implement the surge testing operation in the past few days because a case of the South African variant was discovered locally. This is all down to the tireless efforts of our primary care workers, nurses, GPs, pharmacies and an army of volunteers. I am concerned, though, that despite this heroic effort, there is still some misinformation and vaccine hesitancy. Does the Secretary of State agree that more needs to be done to counter this misinformation and to support the vaccine roll-out and take-up among our black, Asian and ethnic minority communities?",25759,Florence,Eshalomi,02/03/2021,Labour/Co-operative,Vauxhall,4
text52688,"I thank everybody for their contributions and co-operation today, without a time limit being imposed. Everybody behaved impeccably — thank you.Question put and agreed to.Resolved,That this House notes the First Report of the Work and Pensions Committee, “DWP’s response to the coronavirus outbreak”, HC 178; and calls on the Government to increase relevant legacy benefits in line with increases to universal credit, to take steps to return people who have been inadvertently left worse off under universal credit compared with their previous benefits, and to suspend the no recourse to public funds visa condition for the duration of the coronavirus outbreak.",10190,Nigel,Evans,26/11/2020,Conservative,Ribble Valley,4
text45886,"The hon. Member makes a really important point. It is clearly a very difficult and sensitive topic, but it is absolutely the case that if, during pregnancy, any abnormality is detected or suspected there should at no stage be any bias towards abortion, which is what, as I understand it, she is referring to. I want to make that absolutely clear. It must be the case that all health and care staff involved in the care of a woman or a couple who might be considering the termination of a pregnancy must adopt a non-directive, non-judgmental and supportive approach. That absolutely should be the case throughout our health system. Should anyone experience anything different and find that that is not the case, they should raise it, because women and couples should be supported in a positive way so that they can make the right choice for them. I am choosing my words carefully given that this is a very sensitive topic.While I have the opportunity, I want to talk briefly about the importance of the Oliver McGowan mandatory training in learning disability and autism, which the Government have committed to rolling out to make sure that all health and social care staff receive training in learning disabilities and autism. That is really important to make sure that people with those conditions get the right and appropriate care when they are in the health and care system, including, I should say, for end-of-life care, making sure that do not attempt CPR — cardiopulmonary resuscitation — orders are used appropriately.In the light of the pandemic, one thing that has been raised with me, particularly for those who are caring for those with disabilities, is the importance of day services and respite services. I have been working really hard, including with the Social Care Institute for Excellence, on guidance to support the reopening of day services and to encourage local authorities to make sure that those are reopened.To conclude before we are out of time, I am so glad that we have had this debate and been able to talk about the contribution that those with Down’s syndrome make to our society, and, to use a phrase from the excellent speech by the hon. Member for East Kilbride, Strathaven and Lesmahagow, to have made our contribution to changing the narrative. It is crucial that we should celebrate the achievements and contributions of those with Down’s syndrome to our society, so we have been and are taking action to support those with disabilities, including Down’s syndrome, but I believe that we can always do more and go further. So I say, let’s do that. Let’s do more and go further to support people with Down’s syndrome to achieve their dreams.Question put and agreed to.House adjourned.",25398,Helen,Whately,22/10/2020,Conservative,Faversham and Mid Kent,4
text17744,"I echo my hon. Friend’s tribute to Buckinghamshire Council. To date, it has received £10.6 million of additional funding to support its response to covid-19 and it will receive further support from a second tranche of funding, as will other local authorities, for which allocations will be announced imminently. This month, Buckinghamshire will also receive an up-front payment of three months of social care grants, totalling £3.4 million. We are also deferring three months of the council’s payments to Government under the business rate retention scheme between April and June, which is worth £25 million. I hope that is of some help to the council and to my hon. Friend.",24747,Christopher,Pincher,28/04/2020,Conservative,Tamworth,4
text48416,"Before I forget, Mr Deputy Speaker, I should say happy birthday to you as well.The hon. Lady asks a very important question. The JCVI has looked at that issue and in its earlier iteration of its draft advice it considered the disproportionate impact that the virus has had on BAME communities. Its conclusion, having looked at it in some detail, is that the overwhelming indicator of mortality from coronavirus is age; and therefore it has based its recommendations around age and, of course, the occupational groups that directly support the most vulnerable — hence it has come up with the classification that it has. I respect the JCVI’s independence and its analysis.",24773,Matthew,Hancock,10/11/2020,Conservative,West Suffolk,4
text17018,"I beg to move,That this House has considered the emergency financial and social package needed to support people, families and business through the covid-19 outbreak.Thank you, Mr Speaker, for accommodating the change that we wanted to make to the Order Paper today to make for a more efficient debate, and to ensure that Prime Minister’s Question Time ran for the extra time that you gave it. In response to what the hon. Member for Watford (Dean Russell) said, I join him in paying tribute to the life of Tristan Garel-Jones, whom I knew very well when he was a Conservative MP. He had an enormous knowledge of Latin America and central America, and spoke very fluent Spanish. He and I would often exchange pleasantries in Spanish in the Tea Room. I send my best regards to his family: “Siento la muerte de Señor Garel-Jones”.We are holding this debate amid a crisis unlike any other we have experienced in our lifetimes. I hope that the Leader of the House, whom I thank for the kind remarks he made about me, understands how important it is that, in this crisis, democracy is not closed down, but strengthened and enhanced. It is the job of Oppositions to hold the Government to account. I thank my right hon. Friend the Member for Walsall South (Valerie Vaz) for the kind remarks she made and for the work that she is doing in her role as shadow Leader of the House.The coronavirus outbreak will have a lasting impact on our economy and our society. Life is never going to be the same again. The immediate task of the Opposition is to help to arrest the spread of the coronavirus and to support the public health efforts that are being made, while being constructively critical where necessary to ensure that there is an improved official response. I thank all hon. Members for the questions they put to the Leader of the House about how the House can continue to operate as it should, even during a recess.The advice and instructions are crystal clear, so people know precisely what they should and should not do to limit or slow the spread of the virus, but there needs to be detailed guidance to employers and workers about which workplaces should close. Clear communication from the Government is vital for everybody’s safety. The crisis exposes the vulnerabilities in our economy and our society. Underfunded public services, insecure work and a threadbare social security system all carry a heavy burden, which is usually hidden from public view, but has been thrust into a brutal light by a public health emergency.The crisis also shows just how dependent we are on one another, and on the many ties of mutual aid woven together that make up the fabric of our society and our communities. We can come out of the crisis with that fabric strengthened if we value and support one another.  I pay tribute to all the fantastic people, many of them young people, who are volunteering now to help people going through stress and crisis. Indeed, I met a group last week who were leafleting in my constituency to ensure that everybody gets some help if they need it. Our first duty is to say to all of them: thank you.",10133,Jeremy,Corbyn,25/03/2020,Labour,Islington North,4
text47429,"I thank the right hon. Member for Sutton Coldfield (Mr Mitchell) for the way in which he has put his questions and the Secretary of State for the sensitive way in which he has responded and for the clarification he has offered to the House. I suspect there will come a point at which this Parliament will have to confront the issue. I note that the Secretary of State has said that issue should be located within a broader discussion about end-of-life care, a perfectly reasonable position which I endorse, but can he reassure me that, as part of the broader discussion, there will always be thorough and transparent consultation with the public and with faith groups, and that physicians and healthcare professionals will always be fully involved?Members across the House will have sincerely held views, and whatever one’s views on the principle, the House should be aware that before the pandemic a person from Britain travelled abroad to Dignitas every eight days and that charities have warned that since the March lockdown some terminally ill people are ending their lives in the most traumatic circumstances because of a lack of clarity about the law — the Secretary of State has given clarity today, but until that point there was a lack of it. We know that a second lockdown will have a heavy toll on people’s mental health, especially over the winter, so can he tell us what mental health  support will be made available to people facing this most awful of choices and what mental health support is available to people more broadly?People deserve dignity in dying and palliative care needs to be improved at the best of times, but lockdown means that palliative care is particularly under pressure. Can the Secretary of State assure us that hospices will get full support throughout the lockdown, that hospice staff will get regular access to regular testing and that we have a supply of enough of the vital drugs which palliative care relies on for the lockdown period?This is an immensely sensitive topic. I repeat that I appreciate the way in which the Secretary of State has dealt with it this morning, but many people will be deeply concerned. We look forward to working with the Government on this important issue.",25120,Jon,Ashworth,05/11/2020,Labour,Leicester South,4
text44921,"Warrington finds itself as a tier 2 island in the north-west, parked between Manchester and Liverpool. Our infection rate remains stubbornly high, though, and admissions to Warrington Hospital have now exceeded the peak of the first wave in April. Does my right hon. Friend agree that any further measures for Warrington should protect the NHS and save lives but also support local livelihoods and the economy?",25884,Andy,Carter,20/10/2020,Conservative,Warrington South,3
text37130,"The Department regularly engages with Transport for London and the Mayor, including in relation to understanding the impact of covid-19.",24759,Andrew,Stephenson,17/09/2020,Conservative,Pendle,4
text39990,"It is a pleasure to follow the hon. Member for Wealden (Ms Ghani). I wish to speak about progress towards drawing up a shared prosperity fund, because the English regions, and particularly communities such as mine, are in urgent need of investment. I want to focus my remarks on clauses 46 and 47 and on new clause 3, which relates to the replacement of EU structural funds with the UK shared prosperity fund.The shared prosperity fund is a mechanism by which the Government can deliver their levelling up and building back better agenda. With all due respect to right hon. and hon. Members from Northern Ireland, Scotland and Wales, this is not an issue just for the devolved nations and regions, but a huge one for many of us in left-behind former industrial areas, and it is somewhat disappointing that, with three months until the end of the transition period, details of the scheme are still scarce.Structural funds to promote economic growth and deliver infrastructure have never been more important. The divisions and inequalities that have been highlighted during the covid-19 pandemic are deeper and wider today, but they existed previously. As we have learned from previous crises, such as the global financial crash in 2008, it is the weaker regional economies that are hit first and hardest by any economic shock. We therefore need devolution for not only the nations of the United Kingdom but for the English regions that are, to a large degree, disadvantaged by central Government, and the ideal place to start is the shared prosperity fund.If the fund is to work properly, effectively and in a timely fashion, it needs to be in the hands of town halls rather than Whitehall. In the little time I have, I want to give a practical example to illustrate the point, and that is housing in Horden, in my constituency. In 2015, the housing association Accent Housing abandoned its responsibilities. With the consent of Ministers and the former Homes and Communities Agency, the properties in Horden were auctioned off in a fire sale, with some going for as little as £10,000. That led to an influx of private absentee landlords, who have blighted the village and many others.Five years later, the numbered streets in Horden have the highest concentration of crime in County Durham, as well as some of the worst housing conditions in the north-east. Durham County Council has consulted extensively and produced a plan, which has been presented  to the Government time and time again. However, there are practical difficulties in discussing regeneration at a national level when the issues encompass several Departments — the Treasury, the Ministry of Housing, Communities and Local Government, the Department for Business, Energy and Industrial Strategy, and the Home Office. I raised the issue again this morning, but it is vital that we have cross-departmental working on these issues. I am confident that, if the resources were made available through the shared prosperity fund, regeneration plans such as the one we have developed for Horden, would be given the green light.Brexit must mean something different for the left-behind areas of the United Kingdom. It cannot be a continuation of bad policy; otherwise, the slogan “take back control”, used frequently by the Prime Minister, will be nothing more than empty rhetoric and a broken promise, with lost opportunities for communities such as the ones I represent.",24715,Grahame,Morris,29/09/2020,Labour,Easington,4
