docid,text,person_id,first_name,last_name,date,Party,Constituency,label
text58537,"If people receive a letter from the national booking centre and it is more convenient for them to take up that appointment than to call and make an appointment, they should get their vaccination done through the national booking centre. If that is inconvenient, they can absolutely wait and the primary care network will contact them and give them an appointment to make sure that they are vaccinated. Our absolute pledge is to make sure that the four categories that are most vulnerable to coronavirus are offered a vaccine by mid-February.",24822,Nadhim,Zahawi,11/01/2021,Conservative,Stratford-on-Avon,4
text62041,"The Prime Minister is very properly concerned to protect our national health service, and particularly to prevent hospitals and intensive care units from being overwhelmed this winter. My question is about the scope to enhance primary care to reduce the need for covid patients to go to hospital in the first place. New Canadian studies of 4,500 people published this week show that the use of colchicine has cut hospital admissions by 25% and death rates by almost half. Similarly, some ivermectin studies have shown 75% reductions in death rates. What scope is there to act quickly this winter — this winter, not next winter — to enhance our primary care level to protect populations and hospitals?",10162,David,Davis,27/01/2021,Conservative,Haltemprice and Howden,4
text20032,"Thank you, Madam Deputy Speaker. I am afraid to say that this is a dreadful  Bill that will destroy opportunities for future generations and will split even more families apart. It will result in many thousands of EU nationals losing their rights in this country overnight; it will extend the reach of the hostile environment still further; it will drown thousands of businesses and key industries in red tape and massive fees; and it will deprive our public services of talented and desperately needed workers. It will push different nations and regions of the United Kingdom towards depopulation and drive a wedge between us and our European neighbours. In short, it brings to an end the one part of the UK migration system that works well — the free movement of people. Instead, it expands the reach of the UK’s domestic rules — a complicated mess of burning injustice and bureaucracy — and that is why the SNP, without any hesitation, will be voting against this awful Bill. But this awful Bill was made even worse by its appalling timing. Pushing ahead with it in the midst of a public health and economic crisis, and without paying heed to the recent Windrush review, is spectacularly misjudged and shows that the Home Office remains totally out of touch with reality, and completely out of touch with public opinion.I turn first to the coronavirus pandemic and I join others in paying tribute to those on the frontline. I pay particular tribute to the migrant workers who are there, including too many who have lost their lives — consultants from Sudan, Nigeria, Sri Lanka, Egypt, Uganda and Pakistan, a hospital porter from the Philippines, doctors from Germany and Iraq, nurses from Zimbabwe, Trinidad and South Africa, support workers from India and Ghana, and many, many more. Each and every one deserves our tributes and our gratitude, but the more fitting tribute would be a coherent and robust response to the crisis — one that genuinely seeks to ensure that we are all in this together and doing whatever it takes, but that is not what the Bill provides.We should have had a Bill that makes it easier, instead of harder, to recruit the NHS, social care and other staff we need, and not one that uses an ill-considered financial threshold as a poor proxy for skill, talent or contribution. It is right that the Home Office has ditched its earlier rhetoric about cheap, low-skilled labour, but it is now time to drop the accompanying policies, too. We should have had a Bill setting out a comprehensive and generous system of visa extensions for those frontline workers and their families, not the piecemeal, back-of-the-envelope scheme that the Home Office has so far cobbled together.We need a Bill that scraps the minimum income requirements for family visas and suspends other financial thresholds, acknowledging that migrant families and workers have had their incomes slashed, just like too many others. More than 100,000 NHS workers and a huge percentage of care workers are prevented by Home Office financial requirements from being able to sponsor their husbands, wives and children to join them here in the UK. Is it not quite outrageous for the Home Office to say, “Thank you for your hard work, but no thanks to bringing your family”? There is absolutely nothing fair about that.We need a Bill that uprates the pitiful sums of money that we are providing to asylum seekers in this time of crisis and which ensures that, whatever stage of their asylum journey they are at, they can be properly protected. We need a Bill that ensures that all migrants have at least some form of temporary status and which ends the  no recourse to public funds rules that deprive people of the support and accommodation they need to get through this crisis. It is impossible for someone to self-isolate if they do not have a roof over their head or food to eat.We need a Bill that automatically protects all who are at risk of accidental overstaying until coronavirus is over, that gets people out of immigration detention, and that ends data sharing with the Home Office so that the NHS and other vital services are not places that people in need are afraid to attend. We need a Bill that recognises the absurdity of the NHS surcharge and scraps it for good. We need a Bill that postpones any new immigration system until this pandemic is over and we know the reality of the huge economic challenges ahead.Employers are justifiably aghast at the fact that the Home Office is attempting to foist a whole new bureaucracy on them now, in the middle of a public health and economic crisis. The Government took four years to finalise their immigration proposals, yet they are giving employers little more than four months to adapt — four of the most difficult months imaginable. The Bill undermines, rather than helps, our response to the coronavirus.However, it is not just the public health crisis that the Home Office has totally ignored in the Bill — staggeringly, it pays no heed to Windrush either. The Windrush lessons learned review is an incredible indictment of the Department. It talks of Ministers failing to “sufficiently question unintended consequences.” It refers to“an institutional ignorance and thoughtlessness towards the issue of race”that reveals a Department that does not listen to contrary opinions or learn lessons, and where the political culture and pressure to be tough has caused harsh treatment, poor decisions and an absence of empathy for individuals. The Windrush case studies presented by Wendy Williams are enough to make people shake with anger, yet the Bill has not a single trace of recognition of Windrush in it and there are alarming signs that the Department has failed to learn lessons. Its crass and insensitive defence of the discriminatory right-to-rent policy almost makes me wonder whether the review has actually been read. Meanwhile, many of the same voices that warned about Windrush are warning about the fate of tens or possibly hundreds of thousands of EU citizens — old people, young people, looked-after children, care leavers and others — who may not appreciate the need to apply for settled status.If they truly have learned the lessons of Windrush, the Government should protect EEA nationals properly. They should provide them with automatic rights, not rights contingent on their applying by a certain date; they should provide all with fully settled status and abandon the precarious pre-settled status; they should provide EEA citizens with a physical document as proof of their rights, and they must scrap the right to rent and other discriminatory hostile environment policies. Just as before, the Government seem to be ignoring the warnings; instead, the Bill seeks to give Ministers a blank cheque on future immigration policies. The last thing we should do is give the Home Office any more powers until the lessons of Windrush are properly learned.There are so many other areas of immigration, asylum and nationality laws that need fixing. There is nothing in the Bill to address the injustices of nationality law, such  as the disgraceful fees charged to children who simply want to register their British citizenship, to which they are entitled. There is nothing to fix our broken asylum system  — the poverty support rates, the chaotic accommodation contracts, the shambolic move-on period, the ban on work, the restricted family reunion rights, and the loss of Dublin III participation. There is nothing here to address our addiction to immigration detention and the shame of being the only country in Europe without a time limit on detention. There is nothing to address the decimation of appeal rights and legal aid, which has contributed to many injustices, including Windrush.Time and again, the Home Office has shown that it is so obsessed with numbers that it has totally lost sight of individual workers, students and family members, and the contributions that they make. More and more people will be asking, “Why did we leave immigration policy to the Home Office at all?”Of course, on the question of who should make migration policy, with every single day of Home Office incompetence and injustice, the case for migration policy for Scotland being made in Scotland grows stronger. We have been reasonable, pragmatic and thorough in building the case, publishing papers and pointing to international best practice, but the Government simply refuse to engage in a grown-up discussion about migration policy being tailored for Scotland.The risk of population decline and a shrinking labour force and tax base are real and grave issues for Scotland. The future system that this Government have designed is nothing short of a disaster for health and social care, tourism and hospitality, food and drink, agriculture, our universities, and many other key sectors of the Scottish economy. I recognise that it is not just Scotland that the Home Office is throwing under the bus, but other nations and regions of the UK too.Instead of issuing soundbites and slogans about a system working for all, the Home Office must engage seriously. It must recognise that any system that has the express aim of reducing migration does not just fail to work for Scotland but actively works against Scotland’s interests. This is a rotten Bill, introduced with rotten timing. It is beyond repair and it does not deserve a Second Reading.",25301,Stuart,C McDonald,18/05/2020,NA,NA,4
text48663,"The UK Treasury has provided an up-front guarantee of £8.2 billion to the Scottish Government to help protect jobs and to help the Scottish Government tackle coronavirus, yet we are still to hear from the Scottish Government about where more than £2 billion of that funding is to be spent. Does the Secretary of State agree that the Scottish Government need to provide details urgently about how they will use that funding to support Scots?",14026,John,Lamont,11/11/2020,Conservative,"Berwickshire, Roxburgh and Selkirk",4
text23562,"As I have already stated, the Prime Minister has rightly announced that he is establishing a new cross-Government commission, and that will, again rightly, build upon many of the recommendations of the work that has taken place, in addition to the previous work of the race disparity unit. Everybody in the House should welcome that; this is a constructive and positive move forward, and it will be led, along with the review into the public health measures around covid-19 that the hon. and learned Lady referred to, by the Equalities Minister in the Women and Equalities Department.The hon. and learned Lady mentioned the Windrush recommendations delay. There is no delay at all. I spelt out when I gave the report here on the Floor of the House the timeframe on which I would be reporting back to the House of Commons. I am sticking to that timetable and will be here on the Floor of the House before we break for the summer recess not just to outline the recommendations of the “Windrush lessons learned” review, but to expand upon some of the potential policy changes and our review of many practices within the Home Office itself.",24778,Priti,Patel,15/06/2020,Conservative,Witham,4
text18986,"Absolutely, and I remind the hon. Lady of what I said to the Leader of the Opposition earlier — do not forget that many businesses have kept going throughout this crisis across many sectors. We are going to insist that businesses across this country look after their workers and are covid-secure and covid-compliant. The Health and Safety Executive will be enforcing that, and we will have spot inspections to make sure that businesses are keeping their employees safe. It will, of course, be open to employees who do not feel safe to raise that with not just their employers but the HSE as well.",10999,Boris,Johnson,11/05/2020,Conservative,Uxbridge and South Ruislip,1
text62890,"My constituent owns a construction firm. He completed a significant project before the first lockdown, but his customer has not yet paid. He understands from his solicitor that it is impossible to submit a request for a winding-up order through the courts at present, even in cases where the temporary restrictions on them do not apply. If that is the case, what steps are the Government taking to ensure that businesses can request winding-up orders when required while covid restrictions are in place?",25921,Jane,Hunt,02/02/2021,Conservative,Loughborough,4
text10071,"Having experienced the outbreak in my home town of Brighton and Hove, I would like to commend the work of the Secretary the State’s Department,  his officials and public health officials across the country. In particular, I would like to thank the Under-Secretary of State for Health and Social Care, the hon. Member for Bury St Edmunds (Jo Churchill), who personally went beyond the call of duty to keep me and my colleagues informed at every step. I am convinced that the strategy that was unfolded in our city was the correct one, but what was not quite good enough was the explanation given to residents of why that strategy was chosen. Those who came into contact with people with coronavirus were contacted proactively, but those in the same space who were concerned had no information at all. Is this something that will get better?",25418,Peter,Kyle,26/02/2020,Labour,Hove,4
text63899,"After hearing evidence at the Housing, Communities and Local Government Committee on homelessness, I know that the unwillingness of the Home Office to suspend no recourse to public funds and a lack of clarity over support have had devastating consequences during this pandemic for many. Despite being over a month into this lockdown, policy is still opaque around section 4 eligibility for individuals with no recourse to public funds. Will the Minister provide an update on this as a matter of urgency?",25816,Ian,Byrne,08/02/2021,Labour,"Liverpool, West Derby",4
text68004,"As covid-19 restrictions are hopefully relaxed over the coming months, will my right hon. Friend support the establishment of a bricks-and-mortar youth hub in Bury, to offer invaluable support to all young people in my local area and build on the current virtual provision?",25905,James,Daly,08/03/2021,Conservative,Bury North,2
text30872,"I will give way in a moment, but first I will thank my right hon. Friend for the thoughtful way in which he opened the debate. He laid out clearly why we believe that it is the best interests of everyone across these islands that the UK Government, even at this late stage, seek an extension to the transition period. He is absolutely correct that at a time of economic crisis, in the middle of a global pandemic for which there is currently no vaccine and when no one knows where or when the next wave will come or how severe it will be, it is beyond madness for this Government to believe that it will be possible to conduct and conclude all the necessary negotiations and implement the results within the next five months. The reality is that the Government know it — they know that cannot happen.Without an extension to the transition period, the UK will almost certainly crash out of the European Union at the end of the year, with all the economic chaos that will inevitably follow, and those who in 2016 were regarded as the not to be taken seriously, wide-eyed extremists on the fringes of the Conservative party will have won. They will have achieved their goal.My right hon. Friend was also absolutely right when he reminded the House that this is being done to Scotland by a Government we did not elect who are pursuing a policy that we overwhelmingly rejected. In the 2016 EU referendum, the people of Scotland said unequivocally that we wished to remain part of the European Union. That message has been reinforced time and again since 2016, in both general elections and in last year’s European elections.",25370,Brendan,O'Hara,15/07/2020,Scottish National Party,Argyll and Bute,4
