"","docid","text","person_id","first_name","last_name","date","Party","Constituency","label"
"203","text61893","That is ridiculous. The Prime Minister is the Prime Minister of the United Kingdom, and wherever he needs to go in his vital work against this pandemic, he will go.",25674,"Alister","Jack","27/01/2021","Conservative","Dumfries and Galloway",3
"204","text30265","Will my right and learned hon. Friend join me in paying tribute to grassroots organisations such as MK Act in my constituency, which has worked tirelessly to assist victims of domestic abuse throughout the lockdown? I would like to make the House aware of the Open University open justice team, who have collaborated with the charity Support Through Court to launch free online resources to support those dealing with domestic abuse.",25910,"Ben","Everitt","14/07/2020","Conservative","Milton Keynes North",3
"205","text66991","May I, last if not least, wish you, Mr Deputy Speaker, and all other Members of the House a very happy St David’s Day? I am grateful to the hon. Member for Portsmouth South (Stephen Morgan) for bringing this important topic to the House and to the hon. Member for Reading East (Matt Rodda) for the eloquent and passionate way in which he spoke on behalf of his constituents. I should like to thank other Members of the House who are not here this evening, such as my hon. Friends the Members for Kensington (Felicity Buchan) and for Ipswich (Tom Hunt), both of whom have spoken up, championing their constituents — something that all Members of Parliament do and should do on this issue.Building safety is a matter of great significance to residents, not just in the Portsmouth South constituency but across the country. The Government’s aim has always been to protect residents in high-rise blocks of flats without imposing burdensome costs on leaseholders. As Members are aware, last month the Government announced a clear five-point plan that will remove unsafe cladding, provide certainty for leaseholders, and ensure that industry takes the responsibility that it should for its past mistakes. Crucially, our plan also brings us one step closer to creating a world-class building safety regime. Integral to its success is finishing the job of removing unsafe cladding.As I have a little bit of time, perhaps it would be helpful for me to set out some context and remind the House of where we have come from. Following the terrible tragedy of the Grenfell fire, the expert advice that the Government received identified aluminium composite cladding — the type found on the tower — as posing the most severe safety risk on high-rise residential buildings. That is why the Government committed £600 million to accelerate the removal and replacement of unsafe ACM cladding on high-rise residential buildings, and that work is now nearing completion. Almost 95% of all high-rise buildings identified at the beginning of last year with ACM cladding have now been remediated or have workers on site and works under way.However, we recognised then and we recognise now that other forms of unsafe cladding, while less dangerous than ACM, should never have been allowed to be used in the construction of high-rise buildings and will need to be remediated too. As the hon. Member for Portsmouth South pointed out, although many building owners have acted to make these buildings safe — Barratt is one example of a developer that has done so; there are many others — some owners and developers have not. Put simply, too many building owners and managing agents in the private sector have been slow in getting remediation work started.That is why we introduced the £1 billion building safety fund, to remediate high-rise residential buildings with unsafe non-ACM cladding as soon as possible and to shield leaseholders from the costs associated with those works. Additionally, as the House knows, last month, my right hon. Friend the Secretary of State announced £3.5 billion in additional funding for the removal and replacement of unsafe cladding on high-rise residential buildings over 18 metres, or approximately six storeys, in England. We have always been clear, though, that public funding does not absolve the industry from taking responsibility for its own failures. In many cases, we have seen developers and building owners rightly correcting the defects they have created. Indeed, they have done so in more than half the high-rise private sector buildings with unsafe ACM cladding.The position of the Government remains, as hon. Members would expect, that developers, investors and building owners who have the means to pay should do so. They should do the right thing and cover the costs of remediation of other unsafe cladding without passing on the costs to leaseholders However, in many moving cases — the hon. Member for Portsmouth South mentioned a number — it is clear that building owners or their management agents have passed on significant remediation costs to leaseholders without any regard to the affordability of those measures.The Secretary of State knows, as does Lord Greenhalgh, who leads on this area for the Government, that residents are extremely worried by the situations in which they find themselves. They are worried that the safety of their home is in jeopardy, and their life savings with it. Lord Greenhalgh has had many meetings with cladding campaigners. Indeed, he only recently spoke to the all-party parliamentary group on fire safety and leasehold and commonhold reform. He and the Government are absolutely clear that this distressing situation is completely unacceptable, and we are bringing it to a swift end by ensuring that leaseholders are no longer hit with such bills.Under our risk-based approach, as identified by the report of Dame Judith Hackitt, the Government funding will focus on high-rise buildings, which is where the independent advisory panel has been clear that the highest risk lies. It is long-standing expert independent advice that height is a central factor in assessing risk. The National Fire Chiefs Council says so, the Building Research Establishment says so, and the independent panel says so. Taller buildings house more people, and when combined with combustible cladding, they are the least likely to be safely evacuated. This means that the overall risk from fire is greater than in lower-rise buildings — sometimes four times greater. That is why we are ensuring that these buildings are remediated, and we have provided grants to get this done quickly. It is right that the Government should prioritise action on high-rise buildings.For buildings between 11 metres and 18 metres, the risk profile is different, as has been mentioned by the hon. Members for Portsmouth South and for Reading East. Those buildings will not always require the same level of remediation when risks are identified. Although those buildings do not carry the same inherent risk as buildings over 18 metres, we want to ensure that their residents are also given peace of mind and financial certainty. That is why we have said that leaseholders in  buildings between 11 and 18 metres will be able to access a generous long-term low-interest Government-backed finance scheme for the removal of dangerous cladding. That finance scheme will not affect their credit rating. It will not follow them round for life. If they sell their property, it will remain with the property. It will not be, as it were, an addition to their mortgage. It will effectively be a safety charge on the building.As part of the financing scheme, leaseholder payments towards such remediation costs will be capped at a maximum of £50 a month for work that could potentially run into tens of thousands of pounds. We think that this is a fair solution that will provide the support that leaseholders expect, restore confidence in the risk and lending sectors and restore proportionate risk and value assessments so that value can be properly re-ascribed to these properties, while not unfairly burdening taxpayers, many of whom are not homeowners themselves. They are also the covid nurses doing a double shift in the hospital and the shelf stackers in the Tesco Metro in Reading or Portsmouth. We have to be conscious that it is taxpayers’ money that we are disbursing, and we must be careful and sensible with it.As the Secretary of State laid out in his statement to the House, the Government will ensure that the largest property owners also make a fair contribution to this remediation programme. A developer levy will be introduced and targeted at developers seeking permission to develop certain high-rise buildings in England. Industry must take collective responsibility for the historical building safety defects that it created, and our levy will help to ensure that it does. We will also introduce a new tax for British residential property development to make sure that the largest property developers make a fair contribution towards remediation.Taken together, these measures will raise at least £2 billion over the next 10 years, fixing unsafe buildings and ensuring that those with the broadest shoulders bear the greatest burden. Our plan unequivocally makes homes safer and frees those who did the right thing, saving for years to get on to the property ladder to enjoy the homes in which they have invested so much. We are continuing to work at pace to make sure that these schemes protect leaseholders, prioritising affordability, transparency and empowerment while accelerating remediation.The hon. Member for Reading East asked how we would ensure that those on low incomes are protected when they have to pay up to £50 a month. We are alive to the challenges that some people may face, and that is why, when we publish the mechanism for the financing scheme, we need to strike the right balance between the longevity and affordability of payments.The hon. Member for Portsmouth South asked some specific questions about the building safety fund, so perhaps I could spend a moment or two advising the House on that. The House will know that we have allocated £1 billion during this financial year for the building safety fund, designed specifically to remediate high-rise buildings of unsafe non-ACM cladding. Almost 900 decisions have now been made and over 500 registered buildings are now proceeding with a full application. So far, nearly £160 million has been allocated for use, but the House will know — I have mentioned it myself at the Dispatch Box, as has my right hon Friend the Secretary of State — that, despite clear requirements of building  owners in relation to the building safety fund, all too many were unable to properly complete the application process so that the Government could properly assess the eligibility of those applications. Some 2,820 registrations to the fund were made and over 1,000 did not provide such supporting information, such as the height of the building that was applicable and the template lease agreements that apply. In some cases in Portsmouth, EWS1 forms were submitted suggesting that no remediation was necessary.We have worked closely with the building owners and their agents to address this challenge. We have extended the timeframe for application to the end of June this year. I am confident that the money will be allocated — the works must begin by September this year — and that this fund, taken together with the £3.5 billion that we have also made available for the remediation of high-rise properties with unsafe cladding, will ensure that the work is done effectively and that those people can live safely and surely in their homes once again. I should say, however, that all registrants should continue to ensure that everything is done in the meantime to maximise the pace of remediation and continue to make progress with their applications to the fund, because we want this work to get on and complete as quickly as possible.The hon. Gentleman also mentioned the interim measures that we have put in place. I should remind him of one of the reasons why we have introduced the waking watch fund of £30 million to support those high-rise properties that have a waking watch, where costs are being passed on by owners to their leaseholders. We have introduced that fund to make sure that those in the greatest need are supported, but the best way to end waking watches is to get on and remediate those buildings. That is the message that we have impressed time and again on building owners and their agents. I am sure that the hon. Gentleman does exactly the same.Ultimately, all these measures are designed to ensure that the remediation of unsafe buildings happens as soon as possible while protecting leaseholders from unfair, unaffordable costs. As I have said, we have made good progress on remediation. We have taken enforcement action with the joint inspection team, which we support and fund, helping local authorities and fire and rescue services around the country to undertake a number of important actions in which building owners have been fined or named and shamed. That work has contributed to the pressure that we have exerted, and we are now seeing the results.We will continue to advance EWS1 applications to the building safety fund to the next stage so that we can finish the remaining remediation works, and we are doing that as quickly as we can. We have appointed specialist consultants further to increase the pace of remediation and get the job done. We have also spent £700,000 on the recruitment of 2,000 fire risk assessors. One hundred are being trained and put into the field every month to ensure that proper fire risk assessments can be made of buildings, to ensure that the proper costs to remediate them can be associated with them and work can begin.Our plan means that building owners, developers and management agents take responsibility for fixing the problems that they created. The Fire Safety Bill that we introduced will strengthen enforcement action in cases in which they do not do so. We debated that Bill and its  remaining provisions last week. The House will know that we could not accept the amendments tabled by my hon. Friends the Members for Southampton, Itchen (Royston Smith) and for Stevenage (Stephen McPartland). Their intent was good, decent and honourable, but the amendments did not provide sufficient regulatory underpinning to the Bill to protect the Government and the taxpayer from potential court action by landlords and freeholders, which would have stopped the progress of the Bill. I hope that the House will understand why the amendments, although well intentioned, were so defective that the Government could not accept them.We will soon introduce the Building Safety Bill, which makes a once-in-a-generation change to the building safety regime. It will help to place even greater accountability on those responsible for these buildings so that no resident is asked to fix a problem that they did not cause  at a price that they cannot afford. We will fulfil our pledge to bring about the lasting change that we need so that confidence in our building safety regime is fully restored.Many of the challenges that we have spoken about today  — the hon. Members for Portsmouth South and for Reading East, and Conservative colleagues speak about them so forcefully — and beyond it have been allowed to build up over decades and by successive Governments. That is why we must tackle those failures once and for all, righting the wrongs of the past while delivering a fairer deal for taxpayers, who have had to foot so much of the bill, and for leaseholders, because they have a right to expect that and they deserve nothing less.Question put and agreed to.House adjourned.",24747,"Christopher","Pincher","01/03/2021","Conservative","Tamworth",3
"206","text25076","I thank the hon. Member for Brent Central (Dawn Butler) for securing this debate and the Members who  have made such powerful and thoughtful speeches throughout the debate. I wish to focus on the PHE report and, as it is a theme that has emerged from this debate, a call for action.The recent PHE report on the disparities in risk and outcomes of covid found that being from a black and minority ethnic background is associated with a significantly increased risk of death from covid. That is a deeply concerning and worrying finding. The researchers were able to control for the effects of age, sex, socioeconomic deprivation and, to a limited extent, occupation, as all those things are increasingly understood as risk factors for death from covid. However, it remains unclear whether the effect of ethnicity is in part mitigated by obesity or other health conditions, such as diabetes or high blood pressure, which are known to be more prevalent in the BME community. That is a health inequality in and of itself, but the study was unable to control for it. It was also unable to provide a detailed and granular understanding of the effect of occupation, especially for those working in public-facing or care roles. The report further concludes that research needs to be done in this area. It is absolutely right that the Government are urgently looking into this. By getting detailed scientific data, we can understand better the complicated relationships between these factors and not only shape our respond to covid, but continue to inform future health policy to address the needs of those who are currently being left behind. We have to do that very quickly.The PHE stakeholder report makes several recommendations for change, which Members have mentioned. The one I wish to highlight in this debate is the need to accelerate efforts to target culturally competent health promotion and disease prevention programmes, as the importance of that cannot be overstated. Broad-brush approaches to interventions may work for the majority, but they can miss out some of the people most in need, and we need to ensure that our public health programme has the right message, at the right time, delivered in the right way, for the individual to exert change.Many people still face health inequalities in the UK. I have already mentioned socioeconomic deprivation, an important driver of those inequalities that I wish to discuss a little further. Socioeconomic deprivation is a factor in almost all acquired health conditions. I am sure that that is on our minds at this moment, given the possible long-term impacts of the lockdown. We must ensure that everyone has the same opportunities in life, which means tackling inequalities, socioeconomic deprivation and all the factors that drive it, with access to quality education being key.The coronavirus pandemic is a pandemic of inequalities that hits those who are already worst off the hardest. This Government, and the one before it, have worked hard to tackle health inequalities in the black and minority ethnic communities. For example, one aim of the independent review of the Mental Health Act 1983 was to examine and change the increased likelihood of people from a black and minority ethnic background being detained under that Act. As a mental health doctor, I took part in that review and sat on one of the working groups. That work was to help shape a White Paper and reform our mental health laws for the future. It is now time for us to publish that White Paper and drive forward those much-needed reforms.This pandemic is likely to have a grave impact on those struggling with mental illness in society, and while I do not know this, I worry that that will disproportionately impact the black and minority ethnic community. Now more than ever is the time for definitive action. We need a public health revolution to tackle the burning injustice of health inequalities in the black and minority ethnic community. We must ensure that the pandemic does not end up entrenching inequality, and the way to do that is to move public health from the margins to the centre of our national health strategy.",25889,"Ben","Spencer","18/06/2020","Conservative","Runnymede and Weybridge",3
"207","text46440","One of the key things that we will depend on after the lockdown is over — assuming that the House gives its support — is a really effective contact tracing system. The Secretary of State knows as well as I do that, in the last couple of weeks, the system has been reaching only 48% of the contacts of those who have tested positive. The Scientific Advisory Group for Emergencies says that for the system to be effective, it needs to reach 80%. In the 28 days of lockdown, what specific steps will he take to get it to 80%?",11588,"Mark","Harper","02/11/2020","Conservative","Forest of Dean",3
"208","text44906","I absolutely can give my hon. Friend that assurance. I had a meeting on this with the NHS only this week. The good news is that the backlog from the initial lockdown has been reduced: the number of very long waiters for cancer treatment — those waiting more than 104 days — has been reduced by 63%. We are working to keep that coming down. The best way that we can make cancer treatment available to everyone, and the best thing in terms of cancer treatment, is to keep the rate of coronavirus down. On the point about fairness, representing a Lancashire seat as she does, I think it is really important that the proposals that we are making for Greater Manchester, the subject of the statement this evening, are equivalent to those that were made for Lancashire. It is only fair that, between different geographies, we have the same levels of support, especially in neighbouring geographies such as Hyndburn and Manchester.",24773,"Matthew","Hancock","20/10/2020","Conservative","West Suffolk",3
"209","text61332","To govern is to choose, and the Government have chosen to make local authorities choose between cutting services at this time of all times and imposing a 5% council tax rise.I have always opposed the council tax since the Conservatives introduced it in a rush in the early ’90s in the poll tax debacle. It was always a wrong form of taxation; it takes more from those who have the least, and it takes less from those who have the most. It is a regressive form of tax, and for the Government to force local authorities — red, yellow and blue — to increase that burden on the families who struggle the most during a pandemic is utterly inexcusable.It is a choice that the Government have made to increase council tax by 5% and to hit the worst those families who struggle the most, but there are other choices that this Government have made at the same time. The stamp duty holiday has given a boost of tens of thousands of pounds to people who want to buy second homes. Therefore, people who are struggling by on the minimum wage, paying a much higher proportion of their salary in council tax now than those who are wealthier, get a hit, yet those who can afford not just one home but two or more get a benefit worth tens of thousands of pounds from this Government, who have chosen to give it to them.I suggest to the Minister that there is something better he could do with council tax. In communities such as mine in the lakes and dales, where as many as 85% of the properties are second homes — boltholes for folks who are well-off enough mainly to live somewhere else — the impact is colossal. Every single one of those homes is sending no child to the local school and providing no demand for the post office or the bus service, and so those services and facilities end up closing, as they have done in many communities in my part of the world. Yet there are things the Government could do to ameliorate that. Instead of imposing a huge council tax burden on those who are struggling to pay now, why not increase council tax on those who are well-off enough to have more than one home and recycle that money back into local communities?Furthermore, why do the Government not deal with their own consultation that closed nearly three years ago on whether to close the loophole that allows second-home owners to pretend that they are a business? They claim business rate relief, and get business rates taken off altogether — so pay no council tax and no business rates. If this Government cared about levelling up, they would not be levelling down Lake district communities by benefiting those wealthy enough to have more than one home while hitting those who are on low incomes to start with.The Government have chosen to impose this council tax rise, and council tax always hits the less well-off more than those who are better off. This is the opportunity that the Government have to change their mind, to benefit not just the lakes and dales but the whole of the country as it struggles through this terrible crisis.",11923,"Tim","Farron","25/01/2021","Liberal Democrat","Westmorland and Lonsdale",3
"210","text24923","I thank the hon. Gentleman for his constructive and measured response to this proposal. He asked a series of serious questions, and it is incumbent on me to respond to them. He asked about protecting the aid budget. We have made clear that we remain committed to 0.7% of GNI. He asked about consultation. Of course, there were discussions across Government about this, and it has been looked at closely. The Prime Minister had indicated, with the establishment of joint Ministers across the FCO and DFID, that we wanted to take steps down this path to further integration. As I mentioned in my previous responses, what has really focused our minds is what we have learnt in coming through the challenge of coronavirus on the international level.The hon. Gentleman asked about third-party support. The former Foreign Secretary, Sir Malcolm Rifkind, has welcomed it. My right hon. Friend the Member for South West Surrey (Jeremy Hunt) has welcomed it. The Chair of the Foreign Affairs Committee has welcomed it. He said that no NGOs did, but I can quote James Cowan, CEO of the HALO Trust, a landmine clearance charity, who said that he welcomes this decision because UK policy“is very siloed… and needs to be broken down”and brought together. We certainly endorse that. Aid policy and the aid budget will be at the centre — it will be the beating heart — of our international decision-making.",24815,"Dominic","Raab","18/06/2020","Conservative","Esher and Walton",3
"211","text58537","If people receive a letter from the national booking centre and it is more convenient for them to take up that appointment than to call and make an appointment, they should get their vaccination done through the national booking centre. If that is inconvenient, they can absolutely wait and the primary care network will contact them and give them an appointment to make sure that they are vaccinated. Our absolute pledge is to make sure that the four categories that are most vulnerable to coronavirus are offered a vaccine by mid-February.",24822,"Nadhim","Zahawi","11/01/2021","Conservative","Stratford-on-Avon",3
"212","text62041","The Prime Minister is very properly concerned to protect our national health service, and particularly to prevent hospitals and intensive care units from being overwhelmed this winter. My question is about the scope to enhance primary care to reduce the need for covid patients to go to hospital in the first place. New Canadian studies of 4,500 people published this week show that the use of colchicine has cut hospital admissions by 25% and death rates by almost half. Similarly, some ivermectin studies have shown 75% reductions in death rates. What scope is there to act quickly this winter — this winter, not next winter — to enhance our primary care level to protect populations and hospitals?",10162,"David","Davis","27/01/2021","Conservative","Haltemprice and Howden",3
"213","text20032","Thank you, Madam Deputy Speaker. I am afraid to say that this is a dreadful  Bill that will destroy opportunities for future generations and will split even more families apart. It will result in many thousands of EU nationals losing their rights in this country overnight; it will extend the reach of the hostile environment still further; it will drown thousands of businesses and key industries in red tape and massive fees; and it will deprive our public services of talented and desperately needed workers. It will push different nations and regions of the United Kingdom towards depopulation and drive a wedge between us and our European neighbours. In short, it brings to an end the one part of the UK migration system that works well — the free movement of people. Instead, it expands the reach of the UK’s domestic rules — a complicated mess of burning injustice and bureaucracy — and that is why the SNP, without any hesitation, will be voting against this awful Bill. But this awful Bill was made even worse by its appalling timing. Pushing ahead with it in the midst of a public health and economic crisis, and without paying heed to the recent Windrush review, is spectacularly misjudged and shows that the Home Office remains totally out of touch with reality, and completely out of touch with public opinion.I turn first to the coronavirus pandemic and I join others in paying tribute to those on the frontline. I pay particular tribute to the migrant workers who are there, including too many who have lost their lives — consultants from Sudan, Nigeria, Sri Lanka, Egypt, Uganda and Pakistan, a hospital porter from the Philippines, doctors from Germany and Iraq, nurses from Zimbabwe, Trinidad and South Africa, support workers from India and Ghana, and many, many more. Each and every one deserves our tributes and our gratitude, but the more fitting tribute would be a coherent and robust response to the crisis — one that genuinely seeks to ensure that we are all in this together and doing whatever it takes, but that is not what the Bill provides.We should have had a Bill that makes it easier, instead of harder, to recruit the NHS, social care and other staff we need, and not one that uses an ill-considered financial threshold as a poor proxy for skill, talent or contribution. It is right that the Home Office has ditched its earlier rhetoric about cheap, low-skilled labour, but it is now time to drop the accompanying policies, too. We should have had a Bill setting out a comprehensive and generous system of visa extensions for those frontline workers and their families, not the piecemeal, back-of-the-envelope scheme that the Home Office has so far cobbled together.We need a Bill that scraps the minimum income requirements for family visas and suspends other financial thresholds, acknowledging that migrant families and workers have had their incomes slashed, just like too many others. More than 100,000 NHS workers and a huge percentage of care workers are prevented by Home Office financial requirements from being able to sponsor their husbands, wives and children to join them here in the UK. Is it not quite outrageous for the Home Office to say, “Thank you for your hard work, but no thanks to bringing your family”? There is absolutely nothing fair about that.We need a Bill that uprates the pitiful sums of money that we are providing to asylum seekers in this time of crisis and which ensures that, whatever stage of their asylum journey they are at, they can be properly protected. We need a Bill that ensures that all migrants have at least some form of temporary status and which ends the  no recourse to public funds rules that deprive people of the support and accommodation they need to get through this crisis. It is impossible for someone to self-isolate if they do not have a roof over their head or food to eat.We need a Bill that automatically protects all who are at risk of accidental overstaying until coronavirus is over, that gets people out of immigration detention, and that ends data sharing with the Home Office so that the NHS and other vital services are not places that people in need are afraid to attend. We need a Bill that recognises the absurdity of the NHS surcharge and scraps it for good. We need a Bill that postpones any new immigration system until this pandemic is over and we know the reality of the huge economic challenges ahead.Employers are justifiably aghast at the fact that the Home Office is attempting to foist a whole new bureaucracy on them now, in the middle of a public health and economic crisis. The Government took four years to finalise their immigration proposals, yet they are giving employers little more than four months to adapt — four of the most difficult months imaginable. The Bill undermines, rather than helps, our response to the coronavirus.However, it is not just the public health crisis that the Home Office has totally ignored in the Bill — staggeringly, it pays no heed to Windrush either. The Windrush lessons learned review is an incredible indictment of the Department. It talks of Ministers failing to “sufficiently question unintended consequences.” It refers to“an institutional ignorance and thoughtlessness towards the issue of race”that reveals a Department that does not listen to contrary opinions or learn lessons, and where the political culture and pressure to be tough has caused harsh treatment, poor decisions and an absence of empathy for individuals. The Windrush case studies presented by Wendy Williams are enough to make people shake with anger, yet the Bill has not a single trace of recognition of Windrush in it and there are alarming signs that the Department has failed to learn lessons. Its crass and insensitive defence of the discriminatory right-to-rent policy almost makes me wonder whether the review has actually been read. Meanwhile, many of the same voices that warned about Windrush are warning about the fate of tens or possibly hundreds of thousands of EU citizens — old people, young people, looked-after children, care leavers and others — who may not appreciate the need to apply for settled status.If they truly have learned the lessons of Windrush, the Government should protect EEA nationals properly. They should provide them with automatic rights, not rights contingent on their applying by a certain date; they should provide all with fully settled status and abandon the precarious pre-settled status; they should provide EEA citizens with a physical document as proof of their rights, and they must scrap the right to rent and other discriminatory hostile environment policies. Just as before, the Government seem to be ignoring the warnings; instead, the Bill seeks to give Ministers a blank cheque on future immigration policies. The last thing we should do is give the Home Office any more powers until the lessons of Windrush are properly learned.There are so many other areas of immigration, asylum and nationality laws that need fixing. There is nothing in the Bill to address the injustices of nationality law, such  as the disgraceful fees charged to children who simply want to register their British citizenship, to which they are entitled. There is nothing to fix our broken asylum system  — the poverty support rates, the chaotic accommodation contracts, the shambolic move-on period, the ban on work, the restricted family reunion rights, and the loss of Dublin III participation. There is nothing here to address our addiction to immigration detention and the shame of being the only country in Europe without a time limit on detention. There is nothing to address the decimation of appeal rights and legal aid, which has contributed to many injustices, including Windrush.Time and again, the Home Office has shown that it is so obsessed with numbers that it has totally lost sight of individual workers, students and family members, and the contributions that they make. More and more people will be asking, “Why did we leave immigration policy to the Home Office at all?”Of course, on the question of who should make migration policy, with every single day of Home Office incompetence and injustice, the case for migration policy for Scotland being made in Scotland grows stronger. We have been reasonable, pragmatic and thorough in building the case, publishing papers and pointing to international best practice, but the Government simply refuse to engage in a grown-up discussion about migration policy being tailored for Scotland.The risk of population decline and a shrinking labour force and tax base are real and grave issues for Scotland. The future system that this Government have designed is nothing short of a disaster for health and social care, tourism and hospitality, food and drink, agriculture, our universities, and many other key sectors of the Scottish economy. I recognise that it is not just Scotland that the Home Office is throwing under the bus, but other nations and regions of the UK too.Instead of issuing soundbites and slogans about a system working for all, the Home Office must engage seriously. It must recognise that any system that has the express aim of reducing migration does not just fail to work for Scotland but actively works against Scotland’s interests. This is a rotten Bill, introduced with rotten timing. It is beyond repair and it does not deserve a Second Reading.",25301,"Stuart","C McDonald","18/05/2020",NA,NA,3
"214","text48663","The UK Treasury has provided an up-front guarantee of £8.2 billion to the Scottish Government to help protect jobs and to help the Scottish Government tackle coronavirus, yet we are still to hear from the Scottish Government about where more than £2 billion of that funding is to be spent. Does the Secretary of State agree that the Scottish Government need to provide details urgently about how they will use that funding to support Scots?",14026,"John","Lamont","11/11/2020","Conservative","Berwickshire, Roxburgh and Selkirk",3
"215","text23562","As I have already stated, the Prime Minister has rightly announced that he is establishing a new cross-Government commission, and that will, again rightly, build upon many of the recommendations of the work that has taken place, in addition to the previous work of the race disparity unit. Everybody in the House should welcome that; this is a constructive and positive move forward, and it will be led, along with the review into the public health measures around covid-19 that the hon. and learned Lady referred to, by the Equalities Minister in the Women and Equalities Department.The hon. and learned Lady mentioned the Windrush recommendations delay. There is no delay at all. I spelt out when I gave the report here on the Floor of the House the timeframe on which I would be reporting back to the House of Commons. I am sticking to that timetable and will be here on the Floor of the House before we break for the summer recess not just to outline the recommendations of the “Windrush lessons learned” review, but to expand upon some of the potential policy changes and our review of many practices within the Home Office itself.",24778,"Priti","Patel","15/06/2020","Conservative","Witham",3
"216","text18986","Absolutely, and I remind the hon. Lady of what I said to the Leader of the Opposition earlier — do not forget that many businesses have kept going throughout this crisis across many sectors. We are going to insist that businesses across this country look after their workers and are covid-secure and covid-compliant. The Health and Safety Executive will be enforcing that, and we will have spot inspections to make sure that businesses are keeping their employees safe. It will, of course, be open to employees who do not feel safe to raise that with not just their employers but the HSE as well.",10999,"Boris","Johnson","11/05/2020","Conservative","Uxbridge and South Ruislip",1
"217","text62890","My constituent owns a construction firm. He completed a significant project before the first lockdown, but his customer has not yet paid. He understands from his solicitor that it is impossible to submit a request for a winding-up order through the courts at present, even in cases where the temporary restrictions on them do not apply. If that is the case, what steps are the Government taking to ensure that businesses can request winding-up orders when required while covid restrictions are in place?",25921,"Jane","Hunt","02/02/2021","Conservative","Loughborough",3
"218","text10071","Having experienced the outbreak in my home town of Brighton and Hove, I would like to commend the work of the Secretary the State’s Department,  his officials and public health officials across the country. In particular, I would like to thank the Under-Secretary of State for Health and Social Care, the hon. Member for Bury St Edmunds (Jo Churchill), who personally went beyond the call of duty to keep me and my colleagues informed at every step. I am convinced that the strategy that was unfolded in our city was the correct one, but what was not quite good enough was the explanation given to residents of why that strategy was chosen. Those who came into contact with people with coronavirus were contacted proactively, but those in the same space who were concerned had no information at all. Is this something that will get better?",25418,"Peter","Kyle","26/02/2020","Labour","Hove",3
"219","text63899","After hearing evidence at the Housing, Communities and Local Government Committee on homelessness, I know that the unwillingness of the Home Office to suspend no recourse to public funds and a lack of clarity over support have had devastating consequences during this pandemic for many. Despite being over a month into this lockdown, policy is still opaque around section 4 eligibility for individuals with no recourse to public funds. Will the Minister provide an update on this as a matter of urgency?",25816,"Ian","Byrne","08/02/2021","Labour","Liverpool, West Derby",3
"220","text68004","As covid-19 restrictions are hopefully relaxed over the coming months, will my right hon. Friend support the establishment of a bricks-and-mortar youth hub in Bury, to offer invaluable support to all young people in my local area and build on the current virtual provision?",25905,"James","Daly","08/03/2021","Conservative","Bury North",3
"221","text30872","I will give way in a moment, but first I will thank my right hon. Friend for the thoughtful way in which he opened the debate. He laid out clearly why we believe that it is the best interests of everyone across these islands that the UK Government, even at this late stage, seek an extension to the transition period. He is absolutely correct that at a time of economic crisis, in the middle of a global pandemic for which there is currently no vaccine and when no one knows where or when the next wave will come or how severe it will be, it is beyond madness for this Government to believe that it will be possible to conduct and conclude all the necessary negotiations and implement the results within the next five months. The reality is that the Government know it — they know that cannot happen.Without an extension to the transition period, the UK will almost certainly crash out of the European Union at the end of the year, with all the economic chaos that will inevitably follow, and those who in 2016 were regarded as the not to be taken seriously, wide-eyed extremists on the fringes of the Conservative party will have won. They will have achieved their goal.My right hon. Friend was also absolutely right when he reminded the House that this is being done to Scotland by a Government we did not elect who are pursuing a policy that we overwhelmingly rejected. In the 2016 EU referendum, the people of Scotland said unequivocally that we wished to remain part of the European Union. That message has been reinforced time and again since 2016, in both general elections and in last year’s European elections.",25370,"Brendan","O'Hara","15/07/2020","Scottish National Party","Argyll and Bute",3
